,table-state,away,idle,eating,drinking,talking,ordering,standing,talk:waiter,look:window,look:waiter,read:bill,read:menu,pay:check,use:phone,use:napkin,use:purse,use:glasses,use:wallet,look:partner,takeout,NONE
0,NONE,1.5894275044414634,0.10373082919401037,0.0,0.001087705304376201,0.008411587687175955,0.0,0.1601827344911352,0.0,0.0001450273739168268,0.0,0.0,0.05971502121025343,0.0,0.019252383887458757,0.0,0.0,0.0,0.0,0.0,0.0,0.058047206410209926
1,reading-menus,0.15445665445665446,0.23842083842083842,0.0,0.03853276353276353,0.12041107041107041,0.0,0.00641025641025641,0.03489010989010989,0.1408933658933659,0.017704517704517704,0.0,0.8851139601139602,0.0,0.2010989010989011,0.0017806267806267807,0.0057997557997558,0.00927960927960928,0.0,0.09532967032967032,0.0,0.04987789987789988
2,ready-to-order,0.0,0.5290196078431373,0.0,0.1419607843137255,0.18745098039215685,0.0,0.0,0.0,0.20039215686274509,0.024901960784313726,0.0,0.20607843137254903,0.0,0.1815686274509804,0.0,0.0,0.0,0.0,0.49,0.0,0.03862745098039216
3,table-waiting,0.16098800479047987,0.36307528530602673,0.01053145178153891,0.08368765564307123,0.38010810262779365,0.009169079860341036,0.0005702952228270168,0.031803463592986636,0.1907700886492241,0.020543301248946537,0.010525115167951944,0.050883007103343834,0.04265174605387389,0.3002224151369025,0.00825660750381781,0.00018376179402203874,0.0009378188108710943,0.029642678359830938,0.22612839246449912,0.04043393129843549,0.038887797583215575
4,eating,0.02185518852185519,0.1480202424646869,1.1271493715938161,0.061233455677900124,0.17344566789011234,0.0,0.0017350684017350684,0.011033255477699922,0.09742520298075853,0.006567678789901012,0.0,0.00323656990323657,0.0,0.09412746079412745,0.13411188966744522,0.0,0.0,0.0,0.08434545656767879,0.0,0.035713491269046826
5,ready-for-cleanup,0.010860860860860862,0.4365865865865866,0.006356356356356356,0.08768768768768768,0.42767767767767767,0.0,0.0,0.02067067067067067,0.1933933933933934,0.0456956956956957,0.0,0.0,0.0,0.03968968968968969,0.2717217217217217,0.0,0.0,0.0,0.3775775775775776,0.0,0.08208208208208208
6,ready-for-bill,0.0,0.5102920723226704,0.2109874826147427,0.12828001854427445,0.37635605006954104,0.0,0.0,0.0181733889661567,0.23481687528975428,0.025869262865090403,0.0006954102920723226,0.0,0.0,0.12169680111265646,0.011265646731571627,0.0,0.0,0.0,0.32438572090866946,0.0,0.03718127028280019
7,ready-for-final-check,0.0,0.38987230295024217,0.10206957287538529,0.08140319976515485,0.3274915602524585,0.0,0.0,0.005284015852047556,0.20936445031557316,0.002583296638778805,0.05187142228093351,0.0,0.019345369147218554,0.39148686334947896,0.025216497871715836,0.02727139292528989,0.011448701012769706,0.05909291061206517,0.2571260824893586,0.0,0.03907236166152943
8,ready-to-leave,0.0,0.3658937198067633,0.0,0.21932367149758455,0.6266183574879227,0.0,0.08400966183574879,0.0,0.2515458937198068,0.0,0.0,0.0,0.05454106280193237,0.0,0.0,0.05647342995169082,0.0,0.01391304347826087,0.2822705314009662,0.0,0.04541062801932367
