,start_time,end_time,event,event_type
0,210,258,bring:to-seat,waiter-action
1,259,303,bring:menus,waiter-action
2,303,378,leaving,waiter-action
3,5282,5330,arriving,waiter-action
4,5330,5527,take:info,waiter-action
5,5527,5543,leaving,waiter-action
6,5546,5579,arriving,waiter-action
7,5582,6739,take:order,waiter-action
8,6740,6979,leaving,waiter-action
9,10051,10083,arriving,waiter-action
10,10085,10126,bring:drinks,waiter-action
11,10126,10170,leaving,waiter-action
12,32606,32646,arriving,waiter-action
13,32653,32706,bring:food,waiter-action
14,32709,32753,leaving,waiter-action
15,33451,33519,arriving,waiter-action
16,33521,33627,take:info,waiter-action
17,33629,33724,leaving,waiter-action
18,40532,40558,arriving,waiter-action
19,40559,40605,bring:drinks,waiter-action
20,40605,40642,leaving,waiter-action
21,59734,59788,arriving,waiter-action
22,59788,59811,take:info,waiter-action
23,59811,59842,leaving,waiter-action
24,66259,66300,arriving,waiter-action
25,66301,66320,bring:bill,waiter-action
26,66320,66401,take:dishes,waiter-action
27,66401,66525,leaving,waiter-action
28,70828,70898,arriving,waiter-action
29,70904,71048,take:info,waiter-action
30,71052,71091,leaving,waiter-action
31,73407,73421,arriving,waiter-action
32,73423,73453,take:bill,waiter-action
33,73455,73498,leaving,waiter-action
34,74488,74515,arriving,waiter-action
35,74518,74551,bring:check,waiter-action
36,74555,74581,leaving,waiter-action
37,86045,86117,arriving,waiter-action
38,86118,86139,take:check,waiter-action
39,86139,86744,clear:table,waiter-action
40,86750,86863,leaving,waiter-action
41,930,5040,reading-menus,customer_state
42,5040,5070,table-waiting,customer_state
43,5070,5250,ready-to-order,customer_state
44,5250,32730,table-waiting,customer_state
45,32730,64020,eating,customer_state
46,64020,64095,table-waiting,customer_state
47,64095,66315,ready-for-cleanup,customer_state
48,66315,66705,table-waiting,customer_state
49,66705,70755,ready-for-bill,customer_state
50,70755,73425,table-waiting,customer_state
51,73425,74445,ready-for-final-check,customer_state
52,74445,78015,table-waiting,customer_state
53,78015,85455,ready-to-leave,customer_state
