,start_time,end_time,event,event_type
0,1426,1490,bring:menus,waiter-action
1,10699,11203,take:info,waiter-action
2,11203,11298,take:info,waiter-action
3,15478,15498,bring:drinks,waiter-action
4,15751,15828,bring:drinks,waiter-action
5,15829,15989,take:info,waiter-action
6,27672,28254,take:order,waiter-action
7,52830,52893,take:dishes,waiter-action
8,66336,66426,bring:food,waiter-action
9,67188,67746,take:info,waiter-action
10,69465,69885,bring:drinks,waiter-action
11,70180,70323,bring:food,waiter-action
12,81615,81993,take:info,waiter-action
13,81996,82080,take:info,waiter-action
14,82092,82140,take:dishes,waiter-action
15,88321,88385,take:info,waiter-action
16,105250,105768,take:dishes,waiter-action
17,109580,109606,bring:bill,waiter-action
18,112282,112301,take:bill,waiter-action
19,114039,114279,bring:check,waiter-action
20,117090,117244,take:check,waiter-action
21,126993,127416,clear:table,waiter-action
22,128316,128998,clear:table,waiter-action
23,2580,27240,reading-menus,customer_state
24,27240,27660,ready-to-order,customer_state
25,27660,67890,table-waiting,customer_state
26,67890,92250,eating,customer_state
27,92250,99510,eating,customer_state
28,99510,105180,ready-for-cleanup,customer_state
29,105180,105720,table-waiting,customer_state
30,105720,109380,ready-for-bill,customer_state
31,109380,109590,table-waiting,customer_state
32,109590,113910,ready-for-final-check,customer_state
33,113910,116100,table-waiting,customer_state
34,116100,116940,ready-to-leave,customer_state
35,116940,128998,table-waiting,customer_state
