,table-state,away-from-table,idle,eating,drinking,talking,ordering,standing,talking:waiter,looking:window,looking:waiter,reading:bill,reading:menu,paying:check,using:phone,using:napkin,using:purse,using:glasses,using:wallet,looking:PersonA,looking:PersonB,takeoutfood,NONE
0,NONE,0.37367583173686625,0.3246485523866059,0.00896899705890289,0.07143358247214053,0.32496694638568846,0.007808747740212083,0.02432746013329376,0.02708507595585656,0.16248886970130325,0.017495480424165565,0.008963600550443863,0.052222012358004374,0.0363238984377108,0.25854672027198405,0.007031650522112193,0.00015649874531178327,0.0007986832519359974,0.02524486657132835,0.11437360028061844,0.07820620058821942,0.03443512047705135,0.039988127681390144
1,reading-menus,0.15445665445665446,0.23842083842083842,0.0,0.03853276353276353,0.12041107041107041,0.0,0.00641025641025641,0.03489010989010989,0.1408933658933659,0.017704517704517704,0.0,0.8851139601139602,0.0,0.2010989010989011,0.0017806267806267807,0.0057997557997558,0.00927960927960928,0.0,0.04287749287749288,0.05245217745217745,0.0,0.04987789987789988
2,ready-to-order,0.0,0.5290196078431373,0.0,0.1419607843137255,0.18745098039215685,0.0,0.0,0.0,0.20039215686274509,0.024901960784313726,0.0,0.20607843137254903,0.0,0.1815686274509804,0.0,0.0,0.0,0.0,0.2641176470588235,0.22588235294117648,0.0,0.03862745098039216
3,eating,0.02185518852185519,0.1480202424646869,1.1271493715938161,0.061233455677900124,0.17344566789011234,0.0,0.0017350684017350684,0.011033255477699922,0.09742520298075853,0.006567678789901012,0.0,0.00323656990323657,0.0,0.09412746079412745,0.13411188966744522,0.0,0.0,0.0,0.03075297519741964,0.05359248137025915,0.0,0.035713491269046826
4,ready-for-cleanup,0.010860860860860862,0.4365865865865866,0.006356356356356356,0.08768768768768768,0.42767767767767767,0.0,0.0,0.02067067067067067,0.1933933933933934,0.0456956956956957,0.0,0.0,0.0,0.03968968968968969,0.2717217217217217,0.0,0.0,0.0,0.17927927927927928,0.1982982982982983,0.0,0.045345345345345345
5,ready-for-bill,0.0,0.5102920723226704,0.2109874826147427,0.12828001854427445,0.37635605006954104,0.0,0.0,0.0181733889661567,0.23481687528975428,0.025869262865090403,0.0006954102920723226,0.0,0.0,0.12169680111265646,0.011265646731571627,0.0,0.0,0.0,0.13871117292535928,0.18567454798331015,0.0,0.03718127028280019
6,ready-for-final-check,0.0,0.38987230295024217,0.10206957287538529,0.08140319976515485,0.3274915602524585,0.0,0.0,0.005284015852047556,0.20936445031557316,0.002583296638778805,0.05187142228093351,0.0,0.019345369147218554,0.39148686334947896,0.025216497871715836,0.02727139292528989,0.011448701012769706,0.05909291061206517,0.12790253926317335,0.12922354322618523,0.0,0.03907236166152943
7,ready-to-leave,0.0,0.3658937198067633,0.0,0.21932367149758455,0.6266183574879227,0.0,0.08400966183574879,0.0,0.2515458937198068,0.0,0.0,0.0,0.05454106280193237,0.0,0.0,0.05647342995169082,0.0,0.01391304347826087,0.042028985507246375,0.2402415458937198,0.0,0.04541062801932367
