,start_time,end_time,event,event_type
0,249,273,arriving,waiter-action
1,273,432,bring:menus,waiter-action
2,432,487,leaving,waiter-action
3,6338,6405,arriving,waiter-action
4,6407,6853,take:info,waiter-action
5,6853,6878,leaving,waiter-action
6,9285,9318,arriving,waiter-action
7,9318,9354,bring:drinks,waiter-action
8,9354,9372,leaving,waiter-action
9,15696,15710,arriving,waiter-action
10,15710,15771,bring:drinks,waiter-action
11,15771,15797,leaving,waiter-action
12,22046,22087,arriving,waiter-action
13,22087,22769,take:order,waiter-action
14,22769,22801,leaving,waiter-action
15,36616,36643,arriving,waiter-action
16,36643,36733,bring:food,waiter-action
17,36733,36778,leaving,waiter-action
18,42891,42944,arriving,waiter-action
19,42944,43132,take:info,waiter-action
20,43137,43199,leaving,waiter-action
21,47042,47188,arriving,waiter-action
22,47189,47247,take:info,waiter-action
23,47248,47313,leaving,waiter-action
24,48091,48157,arriving,waiter-action
25,48157,48227,take:dishes,waiter-action
26,48227,48292,take:dishes,waiter-action
27,48293,48360,leaving,waiter-action
28,61675,61712,arriving,waiter-action
29,61712,61916,bring:food,waiter-action
30,61917,61935,leaving,waiter-action
31,63315,63394,arriving,waiter-action
32,63394,63478,take:info,waiter-action
33,63478,63577,leaving,waiter-action
34,71504,71549,arriving,waiter-action
35,71549,71575,bring:drinks,waiter-action
36,71575,71607,leaving,waiter-action
37,91093,91183,arriving,waiter-action
38,91183,91278,take:info,waiter-action
39,91278,91298,leaving,waiter-action
40,92497,92555,arriving,waiter-action
41,92559,92688,bring:boxes,waiter-action
42,92692,92755,leaving,waiter-action
43,96674,96702,arriving,waiter-action
44,96702,96721,bring:bill,waiter-action
45,96722,96786,take:dishes,waiter-action
46,96788,96810,leaving,waiter-action
47,99733,99771,arriving,waiter-action
48,99771,99794,take:bill,waiter-action
49,99794,99838,leaving,waiter-action
50,103243,103276,arriving,waiter-action
51,103276,103417,bring:check,waiter-action
52,103419,103461,leaving,waiter-action
53,104872,104895,arriving,waiter-action
54,104895,104975,take:info,waiter-action
55,104977,105005,leaving,waiter-action
56,121685,121730,arriving,waiter-action
57,121731,123211,clear:table,waiter-action
58,2700,21720,reading-menus,customer_state
59,21720,21750,table-waiting,customer_state
60,21750,22020,ready-to-order,customer_state
61,22020,22170,table-waiting,customer_state
62,22170,22680,ready-for-cleanup,customer_state
63,22680,36720,table-waiting,customer_state
64,36720,43230,eating,customer_state
65,43230,43275,table-waiting,customer_state
66,43275,48045,ready-for-cleanup,customer_state
67,48045,61650,table-waiting,customer_state
68,61650,89220,eating,customer_state
69,89220,92520,ready-for-cleanup,customer_state
70,92520,96060,table-waiting,customer_state
71,96060,96750,ready-for-bill,customer_state
72,96750,96945,table-waiting,customer_state
73,96945,103110,ready-for-final-check,customer_state
74,103110,104820,ready-for-final-check,customer_state
75,104820,106620,table-waiting,customer_state
76,106620,116280,ready-to-leave,customer_state
