,start_time,end_time,event,event_type
0,210,258,bring:to-seat,waiter_action
1,259,303,bring:menus,waiter_action
2,303,378,leaving,waiter_action
3,5282,5330,arriving,waiter_action
4,5330,5527,take:info,waiter_action
5,5527,5543,leaving,waiter_action
6,5546,5579,arriving,waiter_action
7,5582,6739,take:order,waiter_action
8,6740,6979,leaving,waiter_action
9,10051,10083,arriving,waiter_action
10,10085,10126,bring:drinks,waiter_action
11,10126,10170,leaving,waiter_action
12,32606,32646,arriving,waiter_action
13,32653,32706,bring:food,waiter_action
14,32709,32753,leaving,waiter_action
15,33451,33519,arriving,waiter_action
16,33521,33627,take:info,waiter_action
17,33629,33724,leaving,waiter_action
18,40532,40558,arriving,waiter_action
19,40559,40605,bring:drinks,waiter_action
20,40605,40642,leaving,waiter_action
21,59734,59788,arriving,waiter_action
22,59788,59811,take:info,waiter_action
23,59811,59842,leaving,waiter_action
24,66259,66300,arriving,waiter_action
25,66301,66320,bring:bill,waiter_action
26,66320,66401,take:dishes,waiter_action
27,66401,66525,leaving,waiter_action
28,70828,70898,arriving,waiter_action
29,70904,71048,take:info,waiter_action
30,71052,71091,leaving,waiter_action
31,73407,73421,arriving,waiter_action
32,73423,73453,take:bill,waiter_action
33,73455,73498,leaving,waiter_action
34,74488,74515,arriving,waiter_action
35,74518,74551,bring:check,waiter_action
36,74555,74581,leaving,waiter_action
37,86045,86117,arriving,waiter_action
38,86118,86139,take:check,waiter_action
39,86139,86744,clear:table,waiter_action
40,86750,86863,leaving,waiter_action
41,930,5040,reading-menus,customer_state
42,5070,5250,ready-to-order,customer_state
43,32730,64020,eating,customer_state
44,64095,66315,ready-for-cleanup,customer_state
45,66705,70755,ready-for-bill,customer_state
46,73425,74445,ready-for-final-check,customer_state
47,78015,85455,ready-to-leave,customer_state
