,start_time,end_time,event,event_type
0,1320,1426,arriving,waiter_action
1,1426,1490,bring:menus,waiter_action
2,1490,1543,leaving,waiter_action
3,10647,10699,arriving,waiter_action
4,10699,11203,take:info,waiter_action
5,11203,11298,take:info,waiter_action
6,11298,11353,leaving,waiter_action
7,15430,15478,arriving,waiter_action
8,15478,15498,bring:drinks,waiter_action
9,15504,15528,leaving,waiter_action
10,15716,15746,arriving,waiter_action
11,15751,15828,bring:drinks,waiter_action
12,15829,15989,take:info,waiter_action
13,15993,16066,leaving,waiter_action
14,27618,27666,arriving,waiter_action
15,27672,28254,take:order,waiter_action
16,28263,28347,leaving,waiter_action
17,52620,52824,arriving,waiter_action
18,52830,52893,take:dishes,waiter_action
19,52893,52959,leaving,waiter_action
20,66228,66336,arriving,waiter_action
21,66336,66426,bring:food,waiter_action
22,66435,66507,leaving,waiter_action
23,67113,67188,arriving,waiter_action
24,67188,67746,take:info,waiter_action
25,67755,67803,leaving,waiter_action
26,69300,69390,arriving,waiter_action
27,69465,69885,bring:drinks,waiter_action
28,69885,69975,leaving,waiter_action
29,70140,70173,arriving,waiter_action
30,70180,70323,bring:food,waiter_action
31,70328,70361,leaving,waiter_action
32,81516,81606,arriving,waiter_action
33,81615,81993,take:info,waiter_action
34,81996,82080,take:info,waiter_action
35,82092,82140,take:dishes,waiter_action
36,82146,82224,leaving,waiter_action
37,88260,88320,arriving,waiter_action
38,88321,88385,take:info,waiter_action
39,88386,88425,leaving,waiter_action
40,105188,105248,arriving,waiter_action
41,105250,105768,take:dishes,waiter_action
42,105768,105827,leaving,waiter_action
43,109530,109580,arriving,waiter_action
44,109580,109606,bring:bill,waiter_action
45,109613,109626,leaving,waiter_action
46,112249,112282,arriving,waiter_action
47,112282,112301,take:bill,waiter_action
48,112304,112334,leaving,waiter_action
49,113952,114039,arriving,waiter_action
50,114039,114279,bring:check,waiter_action
51,114282,114342,leaving,waiter_action
52,117031,117088,arriving,waiter_action
53,117090,117244,take:check,waiter_action
54,117244,117288,leaving,waiter_action
55,126948,126990,arriving,waiter_action
56,126993,127416,clear:table,waiter_action
57,127416,127488,leaving,waiter_action
58,128256,128316,arriving,waiter_action
59,128316,128998,clear:table,waiter_action
60,2580,27240,reading-menus,customer_state
61,27240,27660,ready-to-order,customer_state
62,67890,92250,eating,customer_state
63,92250,99510,eating,customer_state
64,99510,105180,ready-for-cleanup,customer_state
65,105720,109380,ready-for-bill,customer_state
66,109590,113910,ready-for-final-check,customer_state
67,116100,116940,ready-to-leave,customer_state
